cell_type,mac_resid,mac_pct,mac_rank,hm_rank,hm_resid,LOW_CONFIDENCE,source
natural killer cell,2.241668485254977,0.662120666420925,1,23,8.686951760199305,False,RIRA
hematopoietic precursor cell,2.766956452169333,1.0087859362759073,2,3,15.353904628472929,False,RIRA
T cell,3.102917023242759,1.2686291757228114,3,7,11.669226435501992,False,RIRA
epithelial cell,3.1676158684492433,1.3220850393443955,4,2,16.267367119340193,True,Qu
endothelial cell,3.378019137634471,1.5035524486706375,5,33,5.971302732274846,True,Qu
myeloid dendritic cell,3.637976992113164,1.7438706449106414,6,21,8.898935755842247,False,RIRA
"CD8-positive, alpha-beta T cell",4.154165806579923,2.2738511114525175,7,35,5.3762488830814785,False,RIRA
smooth muscle cell,4.87410661685347,3.1302888945875287,8,31,6.705379907369501,True,Qu
myeloid leukocyte,5.295363370067238,3.6947572058049056,9,10,11.509243348794332,False,RIRA
granulocyte,5.357297503014267,3.7816897789132073,10,27,7.932489173190314,False,RIRA
non-classical monocyte,5.749988127854443,4.356405191466979,11,34,5.89287705793573,False,RIRA
macrophage,6.024838968044975,4.78283345158775,12,16,9.878522208732337,False,RIRA
intermediate monocyte,6.052224408500528,4.826412269589294,13,24,8.427986266571045,False,RIRA
"CD4-positive, alpha-beta T cell",7.016262930386929,6.486435174825604,14,14,10.21169775481372,False,RIRA
B cell,7.023236960681487,6.499336366817551,15,17,9.84610068589495,False,RIRA
fibroblast,7.179040324099165,6.790897203125581,16,28,7.507943223117857,True,Qu
classical monocyte,7.251255883131217,6.928206642613284,17,15,9.928629416857593,False,RIRA
stromal cell,7.499635809681217,7.410964264782942,18,1,16.984603696210993,True,Qu
bladder urothelial cell,8.734435194086151,10.05226721443025,19,29,7.39810930054472,True,Qu
hepatocyte,12.766906954098598,21.476611318657298,20,32,6.058641994458259,True,Qu
